id,carat,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,price
LD13939631,0.23,Round,SI1,D,None,Ideal,59.4,Faint,1.0,Very Good,Very Good,60.0,$280
LD12101461,0.23,Round,SI1,D,None,Good,65.3,Very Strong,1.01,Very Good,Very Good,55.0,$288
LD13420093,0.24,Round,SI1,D,None,Ideal,59.8,None,1.0,Very Good,Excellent,59.0,$289
LD13855335,0.25,Round,SI2,D,None,Very Good,60.0,None,1.0,Good,Very Good,59.0,$290
LD11975555,0.23,Round,SI2,D,None,Good,64.1,None,1.0,Very Good,Good,59.0,$291
LD06945904,0.24,Round,SI1,D,None,Very Good,63.8,None,1.01,Excellent,Good,56.0,$296
LD13586192,0.26,Round,SI1,D,None,Ideal,59.4,None,1.01,Very Good,Excellent,61.0,$302
LD13933027,0.23,Round,SI1,D,None,Good,57.6,None,1.0,Very Good,Excellent,60.0,$305
LD13933029,0.23,Round,SI1,D,None,Good,64.5,None,1.01,Very Good,Very Good,59.0,$305
LD13560077,0.3,Round,SI2,D,None,Good,59.8,None,1.01,Very Good,Very Good,67.0,$323
LD13869221,0.24,Round,VS2,D,None,Ideal,62.5,None,1.01,Very Good,Very Good,53.0,$332
LD13901898,0.23,Round,SI1,D,None,Ideal,62.8,None,1.01,Very Good,Excellent,57.0,$337
LD13901897,0.23,Round,SI1,D,None,Ideal,62.5,None,1.01,Excellent,Very Good,55.0,$338
LD13081202,0.23,Round,VS2,D,None,Very Good,63.6,Medium,1.01,Good,Good,59.0,$339
LD10135191,0.31,Round,SI2,D,None,Good,63.6,None,1.0,Good,Very Good,59.0,$340
LD13955840,0.3,Round,SI2,D,None,Ideal,62.5,Strong,1.01,Excellent,Very Good,55.0,$341
LD13256583,0.24,Round,SI1,D,None,Ideal,62.0,None,1.0,Excellent,Excellent,56.0,$361
LD13955833,0.23,Round,VS1,D,None,Ideal,59.8,None,1.01,Very Good,Very Good,60.0,$361
LD12127571,0.23,Round,VS2,D,None,Ideal,63.5,None,1.01,Excellent,Very Good,56.0,$365
LD13078001,0.3,Round,SI2,D,None,Very Good,61.8,None,1.0,Excellent,Very Good,61.0,$367
LD12320384,0.23,Round,VVS2,D,None,Very Good,61.4,None,1.01,Excellent,Very Good,62.0,$368
LD12882643,0.23,Round,VVS2,D,None,Good,64.7,Medium,1.01,Very Good,Good,59.0,$368
